Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
411320 Lapa;9.0;9.0;2.0;41613;0;27;68;0;0;0;6735990;321670;2417513;7.06
411965 Pitangueiras;1.0;1.0;0.0;0;0;0;0;0;0;0;3462410;133850;241119;7.06
412880 Xambrê;1.0;2.0;0.0;3810;0;0;0;0;0;0;3597120;55840;1660835;7.06
410600 Congonhinhas;1.0;4.0;1.0;274;0;0;0;0;0;0;2047050;38910;2475647;7.07
411050 Ipiranga;2.0;6.0;0.0;740;0;0;0;0;0;0;815380;22160;3549868;7.07
411070 Irati;8.0;25.0;0.0;192231;0;182;86;0;0;0;1943530;44260;2182045;7.07
411325 Laranjal;1.0;2.0;0.0;198;0;56;0;0;0;0;3449180;38960;3774285;7.07
412120 Quitandinha;3.0;2.0;0.0;1604;0;0;0;0;0;0;1676460;37600;3140648;7.07
410050 Altônia;1.0;9.0;1.0;21203;24043;33309;41230;51933;31605;24043;42425;115980;234815;7.08
411280 Joaquim Távora;1.0;4.0;0.0;122047;0;44;0;0;0;0;3543640;72440;4586917;7.08
411375 Lunardelli;1.0;1.0;0.0;13744;0;30;33;0;0;0;7537130;136970;5224832;7.08
411850 Pato Branco;13.0;78.0;3.0;182308;0;0;0;0;0;0;3698620;74180;4199309;7.08
411920 Pinhalão;1.0;1.0;0.0;7943;0;0;0;0;0;0;1345417;257790;3157418;7.08
410090 Amaporã;0.0;0.0;0.0;22800;0;0;0;0;0;0;2983490;194660;3192265;7.09
410655 Corumbataí do Sul;0.0;1.0;0.0;3297;0;10;24;0;0;0;1618620;42290;2677161;7.09
411620 Morretes;2.0;5.0;0.0;0;0;0;0;0;0;0;1857690;40090;176251;7.09
411730 Ortigueira;2.0;2.0;0.0;1160;0;156;20;0;0;0;2930420;60360;2957562;7.09
411810 Paranacity;3.0;3.0;0.0;0;0;0;0;0;0;0;1758750;32770;2101601;7.09
411590 Mirador;0.0;1.0;0.0;798;0;8;9;0;0;0;3243970;107060;3244653;7.11
411220 Janiópolis;1.0;2.0;0.0;27534;0;24;14;0;0;0;1651850;95730;2688719;7.12
410465 Carambeí;3.0;3.0;0.0;27368;0;210;189;0;0;0;4514180;143910;2399073;7.13
410657 Cruzeiro do Iguaçu;2.0;2.0;0.0;12112;0;0;0;0;0;0;2591030;44300;4128344;7.13
411870 Paulo Frontin;1.0;3.0;0.0;3726;0;0;0;0;0;0;40905;61940;2998144;7.13
412033 Prado Ferreira;2.0;3.0;0.0;17912;0;0;0;0;0;0;1557340;53950;2612594;7.13
